root,1,337,67434
Viruses,10239,0,7
Duplodnaviria,2731341,0,7
Heunggongvirae,2731360,0,7
Uroviricota,2731618,0,7
Caudoviricetes,2731619,0,7
Caudovirales,28883,0,7
Myoviridae,10662,0,1
unclassified Myoviridae,196896,0,1
Myoviridae sp.,2202564,1,1
Siphoviridae,10699,0,5
unclassified Siphoviridae,196894,0,5
Siphoviridae sp.,2170413,4,4
Lactococcus phage proPhi7,2656514,1,1
environmental samples,2100420,0,1
uncultured Caudovirales phage,2100421,1,1
cellular organisms,131567,11,64741
Bacteria,2,2246,64729
Proteobacteria,1224,0,1
Betaproteobacteria,28216,0,1
Burkholderiales,80840,0,1
Burkholderiaceae,119060,0,1
Ralstonia,48736,0,1
unclassified Ralstonia,209769,0,1
Ralstonia sp.,54061,1,1
Fusobacteria,32066,0,1
Fusobacteriia,203490,0,1
Fusobacteriales,203491,0,1
Fusobacteriaceae,203492,0,1
Fusobacterium,848,0,1
Fusobacterium necrophorum,859,1,1
environmental samples,48479,0,1
uncultured bacterium,77133,1,1
Terrabacteria group,1783272,63,62480
Firmicutes,1239,16,8385
Bacilli,91061,8,8365
Bacillales,1385,1,507
Staphylococcaceae,90964,0,505
Staphylococcus,1279,25,505
Staphylococcus aureus,1280,1,1
Staphylococcus epidermidis,1282,398,398
Staphylococcus haemolyticus,1283,81,81
Listeriaceae,186820,0,1
Listeria,1637,0,1
Listeria monocytogenes,1639,1,1
Lactobacillales,186826,220,7850
Streptococcaceae,1300,4,1209
Streptococcus,1301,1,3
Streptococcus thermophilus,1308,1,1
Streptococcus dysgalactiae group,119603,0,1
Streptococcus dysgalactiae,1334,1,1
Lactococcus,1357,231,1202
Lactococcus lactis,1358,269,269
Lactococcus garvieae,1363,695,695
Lactococcus raffinolactis,1366,3,3
unclassified Lactococcus,2643510,0,4
Lactococcus sp. LG1074,2816909,3,3
Lactococcus sp. LG606,2816912,1,1
Enterococcaceae,81852,2,6421
Enterococcus,1350,91,6418
Enterococcus faecalis,1351,6287,6287
Enterococcus faecium,1352,39,39
Enterococcus lactis,357441,1,1
Vagococcus,2737,0,1
Vagococcus lutrae,81947,1,1
Clostridia,186801,0,4
Eubacteriales,186802,0,4
Lachnospiraceae,186803,0,2
unclassified Lachnospiraceae,186928,0,2
Clostridiales genomosp. BVAB1,699240,2,2
Peptostreptococcaceae,186804,1,2
Paeniclostridium,1849828,0,1
Paeniclostridium sordellii,1505,1,1
Actinobacteria,201174,3,54032
Actinomycetia,1760,0,54029
Bifidobacteriales,85004,0,54024
Bifidobacteriaceae,31953,0,54024
Bifidobacterium,1678,5107,54024
Bifidobacterium bifidum,1681,8201,8201
Bifidobacterium angulatum,1683,2,2
Bifidobacterium breve,1685,40643,40643
Bifidobacterium dentium,1689,1,1
Bifidobacterium pseudolongum,1694,1,1
Bifidobacterium pseudocatenulatum,28026,1,1
Bifidobacterium scardovii,158787,1,1
Bifidobacterium longum,216816,66,66
Bifidobacterium saguini,762210,1,1
Micrococcales,85006,0,1
Cellulomonadaceae,85016,0,1
Oerskovia,162491,0,1
unclassified Oerskovia,2619021,0,1
Oerskovia sp. KBS0722,1179673,1,1
Corynebacteriales,85007,0,4
Corynebacteriaceae,1653,0,3
Corynebacterium,1716,0,3
Corynebacterium tuberculostearicum,38304,2,2
Corynebacterium aurimucosum,169292,1,1
Nocardiaceae,85025,0,1
Rhodococcus,1827,0,1
unclassified Rhodococcus,192944,0,1
Rhodococcus sp. SH14(2011),1003423,1,1
Eukaryota,2759,0,1
Opisthokonta,33154,0,1
Metazoa,33208,0,1
Eumetazoa,6072,0,1
Bilateria,33213,0,1
Deuterostomia,33511,0,1
Chordata,7711,0,1
Craniata,89593,0,1
Vertebrata,7742,0,1
Gnathostomata,7776,0,1
Teleostomi,117570,0,1
Euteleostomi,117571,0,1
Sarcopterygii,8287,0,1
Dipnotetrapodomorpha,1338369,0,1
Tetrapoda,32523,0,1
Amniota,32524,0,1
Mammalia,40674,0,1
Theria,32525,0,1
Eutheria,9347,0,1
Boreoeutheria,1437010,0,1
Euarchontoglires,314146,0,1
Primates,9443,0,1
Haplorrhini,376913,0,1
Simiiformes,314293,0,1
Catarrhini,9526,0,1
Hominoidea,314295,0,1
Hominidae,9604,0,1
Homininae,207598,0,1
Homo,9605,0,1
Homo sapiens,9606,1,1
unclassified entries,2787823,0,1
unclassified sequences,12908,0,1
environmental samples,151659,0,1
uncultured organism,155900,1,1
